$DOS,AIRDOS04C,2.0.0-0-User,0,a3e25b543d4de5dc3d0544625b6109b33db2b44b,User,0112310834100851f50ba080a08002b6
$DIG,BATDATUNIT01B,1470c00806c200949c49a000a00d009c,7844
$ADC,USTSIPIN03A,0950710874100851f80aa0c0a08000b6,ffff
$STOP,30,35112189.61,13369,7,18577,9,0,5
$START,31,13828
$E,92,6
$E,4540,6
$E,25454,48
$E,25454,39
$E,25461,14
$E,25463,7
$E,25466,12
$E,31581,79
$E,48601,7
$STOP,31,35112199.68,26503,9,18338,9,0,6
$START,32,26947
$E,684,7
$E,44213,46
$E,48302,7
$E,48666,46
$E,49822,51
$E,51383,43
$E,52798,71
$E,56752,17
$E,56880,31
$E,57128,21
$E,58311,16
$E,58877,31
$E,58928,30
$E,60555,24
$E,60793,22
$E,60935,30
$E,61090,23
$E,61667,7
$E,61814,31
$E,61912,9
$E,62372,24
$E,62499,7
$E,62548,56
$E,62631,33
$E,62714,36
$E,62866,7
$E,62934,31
$E,62968,18
$E,63045,39
$E,63113,19
$E,63200,65
$E,63267,16
$E,63417,15
$E,63418,6
$E,63644,8
$E,63671,28
$E,64041,22
$E,64490,24
$E,64648,32
$E,64845,19
$E,64981,4
$E,65038,15
$E,65118,40
$E,65170,19
$E,65263,30
$E,65328,10
$E,65451,31
$E,65597,14
$E,65729,30
$E,65817,41
$E,66009,31
$E,66054,31
$E,66173,24
$E,66177,19
$E,66214,13
$E,66281,14
$E,66569,6
$E,66595,47
$E,66744,26
$E,66947,27
$E,67097,6
$E,67165,51
$E,67183,15
$E,67256,31
$E,67413,51
$E,67439,32
$E,67617,28
$E,67718,12
$E,67872,6
$E,67877,19
$E,67897,23
$E,68075,17
$E,68114,9
$E,68273,8
$E,68284,31
$E,68351,48
$E,68457,20
$E,68725,30
$E,68797,31
$E,68806,16
$E,68850,48
$E,68874,15
$E,68875,14
$E,68923,42
$E,68934,23
$E,68954,15
$E,68959,70
$E,69023,19
$E,69046,48
$E,69109,62
$E,69149,14
$E,69167,27
$E,69310,19
$E,69364,15
$E,69444,16
$E,69483,10
$E,69553,15
$E,69575,33
$E,69600,17
$E,69622,24
$E,69686,40
$E,69736,8
$E,69782,17
$E,69841,29
$E,69867,8
$E,69879,15
$E,69906,30
$E,69963,56
$E,70015,56
$E,70066,27
$E,70078,51
$E,70097,35
$E,70187,19
$E,70213,24
$E,70294,45
$E,70297,103
$E,70299,19
$E,70333,28
$E,70354,24
$E,70401,33
$E,70432,25
$E,70438,24
$E,70476,31
$E,70529,16
$E,70554,32
$E,70559,14
$E,70575,40
$E,70583,12
$E,70605,15
$E,70662,19
$E,70677,17
$E,70681,16
$E,70699,12
$E,70726,24
$E,70728,32
$E,70732,16
$E,70745,23
$E,70746,6
$E,70790,15
$E,70791,24
$E,70815,15
$E,70843,53
$E,70849,23
$E,70853,15
$E,70856,23
$E,70874,17
$E,70906,17
$E,70926,19
$E,70948,22
$E,70975,30
$E,71004,12
$E,71020,25
$E,71022,20
$E,71044,24
$E,71054,17
$E,71065,30
$E,71084,17
$E,71099,14
$E,71119,28
$E,71139,16
$E,71145,15
$E,71173,12
$E,71176,22
$E,71227,16
$E,71276,19
$E,71295,28
$E,71299,35
$E,71311,4
$E,71316,28
$E,71352,12
$E,71366,17
$E,71370,4
$E,71374,12
$E,71386,63
$E,71404,7
$E,71415,7
$E,71417,24
$E,71424,23
$E,71429,19
$E,71438,23
$E,71507,28
$E,71519,23
$E,71549,8
$E,71560,15
$E,71563,12
$E,71577,17
$E,71596,16
$E,71607,11
$E,71631,14
$E,71634,28
$E,71656,19
$E,71685,20
$E,71690,15
$E,71717,48
$E,71722,11
$E,71752,27
$E,71765,51
$E,71773,7
$E,71831,51
$E,71840,15
$E,71853,48
$E,71858,36
$E,71883,108
$E,71891,6
$E,71905,7
$E,71911,15
$E,71921,16
